"","tags","description"
"49","full-time-job","STUDENT ENTREPRENEUR INTERNSHIP    Are you an ambitious future business leader?    We are currently hiring self-motivated, entrepreneurial students or grads for a challenging business internship with one of the North America’s leading companies.     Current openings in select locations in MT and other states.     WHAT THE INTERNSHIP OFFERS:  1) Full-time work during summer 2012  2) Comprehensive business training program  3) Leading a team of student employees who work for you  4) Real-world business experience unlike any other internship  5) Great income potential    STARTING NOW:  The internship consists of a flexible part-time training program during the winter that will transition into a full-time area manager position for spring/summer 2012.     DUTIES:  1) Marketing and sales  2) Staff and project management  3) Client relations  4) Business operations    No previous business or management experience is necessary but a qualified candidate will be business savvy, entrepreneurial and good with customers.    REQUIREMENTS:  *Valid driver's license and vehicle  *Available full-time for summer 2012  *Great attitude and work ethic  *Desire to manage staff and business operations    TO APPLY:   Include the following:  • Your contact information  • Resume  • A paragraph about yourself"
"51","part-time-job","Various Part Time Tellers Openings  Various part time teller openings with the South Shore Savings Bank.  The following opportunities are year round positions in the Weymouth area.  In these positions you will be required to perform the operational duties of a teller, and will be required to become familiar with all retail banking products and services, cross-selling and referring the banks products and services to our customers and consistently meeting or exceeding established sales goals.   Qualifications:  A High School Diploma or GED is required, good keyboarding skills and proven cash handling skills are required.  Ability to complete three weeks of full time training.    Norwell Branch - available to work Monday, Tuesday, Thursday, and Friday (10:45-2:15) and Saturday (8:45-1:15).  Pembroke Branch - available to work Monday, Tuesday, Thursday, and Friday (10:45-2:15) and Saturday (8:45-1:15).  Float teller – Weymouth & Quincy - available to work Tuesday & Wednesday (10:45-2:15); Friday (8:15-5:15) and Saturday (8:45-1:15).  Norwell/Pembroke - available to work Tuesday (8:15-4:15); Wednesday (10:45-3:15); and Saturday (8:45-1:15)."
"52","full-time-job associate-needed","The SOUTH SHORE SAVINGS BANK has an opportunity for a full time Customer Service Representative.  In this position you will assist customers with new account services including processing transactions and actively cross selling all Bank products.  The successful candidate will have excellent customer service skills and proven sales and leadership skills.  Strong knowledge of all banking products is necessary to enable the Bank to meet and exceed establlished sales goals.  In this position, you will assist with branch supervisory functions including branch settlement, teller balancing, ATM settlement and allowing customers access to safe deposit boxes, following specified procedures.  The successful candidate will float between float between markets in the Weymouth and Quincy Area.  An Associates's Degree or equivalent from a two-year college; or six months to one year of related experience and/or training is required or equivalent combination of education and experience.  Previous supervisory experience is preferred.  Please visit our webite at www.example.com under careers and complete an online application."
"54","hourly-wage part-time-job","Teachers 2 Go is currently looking for qualified clarinet teachers to teach weekly lessons to clients in the greater Houston area. A Houston-based business since 2005, we are the only Houston-based music education company owned by teachers to bring lessons of all instruments to students in the comfort of their own homes.    Pay is $40/hour, or $25 for each half hour lesson taught. Teachers are paid weekly.  Teachers must have previous teaching experience and a curriculum.     Our company brings teachers to the homes of the students, therefore you must have reliable transportation and a mobile phone.    As a private contractor, you can continue to teach outside the company as much as you like, but we will require your signature on a no-compete agreement that states that you will not teach anyone we introduce you to without going through us.    Working with Teachers 2 Go can be as part time as you wish. You can work only hours and days that are convenient, and you are not required to accept any student. It is always totally up to you.    Please send your name, instrument, academic and teaching qualifications, experience and contact information to our email address, or call us at  XXX   Serious applicants only please.  www.example.com"
"58","full-time-job","ONLINE APPLICATIONS ARE BEING CONSIDERED.  GO TO OUR WEBSITE www.example.com   or to direct link: www.example.com.   Illinois Medi-Car, a unit of Superior Ambulance Service, has immediate openings for FULL-TIME drivers to transport wheelchair-bound individuals to healthcare facilities, hospitals, testing laboratories, etc.  To be considered for a Driver position, you must meet the following requirements:  • Hold current & valid IL driver’s license • Have a good driving record • No loss or suspension of driver license within the last 2-3 years • Be least 18 years of age • Ability to accurately and quickly read a street map • Ability to push or pull a wheelchair that may be carrying up to 250 pounds. • Physical exam and lift test required. • Depending on shift assignment, available to work weekends, evenings, and holidays                 and scheduled or emergency overtime. • Safety-conscious, courteous, reliable, and caring • High School Diploma or equivalency. • Map test and successfully completed the interview process. • Communicate well and write in English language.   BILINGUAL APPLICANTS PREFERRED  *ON-LINE APPLICATIONS WILL BE ACCEPTED at www.example.com  or follow link:  www.example.com .  Illinois Medi-Car is committed to attracting and retaining the best talent. We are an Equal Employment Opportunity and Affirmative Action Employer.  Qualified applicants of all backgrounds are encouraged to apply.  M/F/V/D "
"61","1-year-experience-needed licence-needed hourly-wage full-time-job","Roles and responsibilities: Physical Therapy Assistant (PTA) dedicated to excellent patient care is needed for treating acute and chronic musculoskeletal pain conditions in our growing Sports Medicine & Rehab Center. You will treat patients using the latest in physical medicine and physical therapy training and technology.  Description: Delivers treatment to patients under the supervision of the physician and/or physical therapist in accordance with quality standards of the sports medicine and physical therapy therapy department.   Basic Qualifications: Physical Therapist Assistant (PTA) degree from accredited program.  Other Qualifications: Must be able to demonstrate clinical proficiency in treating musculoskeletal conditions (back pain & extremity conditions). Must have strong communication and human relation skills to interact with patients, clinicians and co-workers. At least one year experience working as a PTA in a clinical setting is preferred. Manual therapy, massage, athletic training, yoga or Pilates experience preferred. Will train on specific clinic protocols.  Benefit Eligibility: Yes Employment Type: Non-Exempt (Hourly rate) Hours/2-Weeks: 72-80 Schedule: Monday, Tuesday, Thursday: 8:00 am - 7pm, Wednesday: 2 pm - 7pm, Friday: 8:00 am - 1 pm.  Salary: Based on experience. Staffing Contact: Lisa S., No phone calls please."
"62","bs-degree-needed full-time-job","Roles and responsibilities: Physical Therapist (M.P.T. or D.P.T.) dedicated to excellent patient care is needed for evaluating and treating acute and chronic musculoskeletal conditions in our growing sports medicine and physical therapy clinic. You will treat patients integrating the latest in traditional and wholistic physical therapy techniques.  Description: Provides evaluation and treatment to patients in accordance with quality standards of the sports medicine and physical therapy department.  Basic Qualifications: Applicants must have a Physical Therapist (M.P.T. or D.P.T.) degree from an accredited college and an active Minnesota license.  Other Qualifications: Ideal candidate would have athletic training, personal training, manual therapy, yoga or Pilates experience. Must have strong teamwork, communication and human relation skills to interact as a team member with patients, P.T.'s, P.T.A.'s, medical clinicians and co-workers. Will train on specific clinic protocols.  NEW GRADS WELCOME. Will train on clinic protocols.  Benefit Eligibility: Yes Employment Type: Exempt (Salaried) Hours per 2 Weeks: 72-80 Schedule: Monday, Tuesday, Thursday: 8:00 am - 6:30 pm, Wednesday: 2 pm - 6:30 pm, Friday: 8:00 am - 1 pm. Salary: Based on experience. M.P.T. or D.P.T. Degrees only. Submit Resume to Gary, No phone calls please.  Hopkins is located approximately 10 miles west of downtown Minneapolis nestled between the vibrant suburbs of Edina, Minnetonka and St Louis Park, MN."
"65","part-time-job","Part time( 2 days per week) van driver for Assisted Living Community.  Must be mature, reliable, responsible and sensitive to the needs of seniors. Must be a team player and be available to cover other shifts as needed.  R.M.V. report, C.O.R.I.  and drug test required.   "
"68","full-time-job 2-4-years-experience-needed salary bs-degree-needed","*One of the Top Government Lenders is Adding to Their Sales Department!*  *We Fund 1 Out of Every 100 VA Home Loans In The Country!*  *Our Goal is To Fund 1 Out of Every 50 Va Home Loans in the Country by 2012!*   *We Need Your Help!*    *RESUMES/INTERVIEWS THROUGH OCTOBER 21st!*    Loan Officers - 2+ Years FHA/VA Origination Experience, We Pay For your Licenses    Loan Officer Assistants/Loan Officer Apprenticeship Program - We Will Train and License You To Become A \Fully Certified Loan Officer\    $2500 Month Guarantee for 90 Days or Greater of Commission Structure + Paid Licensing, Training and Comprehensive Benefits        iFreedomDirect Corporation is one of the nation's leading government lenders. Our company has been helping individuals finance their homes for over 26 years. We have had national recognition for being the 5th largest FHA lender in the country. We are also extremely proud and honored to be one of the top VA lenders in the nation. We fund one out of every 100 VA Home Loans in the country. Our company goal is to fund one out of every 50 VA Home Loans in the country by 2012, and We Need Your Help! We are seeking employees to fill positions for Loan Officers and Sales Individuals for our company's Loan Officer Apprenticeship Program. If you have the following qualifications listed below, You Could Become a Part of Our Team!          *What Kind of Employees Are We Seeking?*    *Energetic, Goal and Service Minded Loan Officers*  Must Have 2+ Years FHA/VA Exp    *Energetic, Goal and Service Minded Sales Individuals for Loan Officer Apprenticeship Program*  Must have 2+ Years Exp in One of the Following Areas:  Loan Officer, Title, Escrow or Real Estate Assistant, or Financial Customer Service Rep with Sales Exp  OR  Recent College Graduate with a Degree in Business, Finance or Marketing with 2+ Years Sales Exp    *Skills Required:*  Great Phone & Customer Service Skills  Passion for Sales  Computer Proficiency  Solid Organizational & Multi-Tasking Skills  Team Spirit and Individually Driven  Acclimated to Taking Tests    *We Offer You:*    A Great Opportunity to Jump-Start or Advance Your Career  Company Stability - In Business 26 Years  Paid Training & Licensing  Salary, Commission + Full Benefits  Solid Opportunity to Make a \Healthy\ Income Within the 1st Year  Company Stability- Company in Business 26 Years  Inbound leads, In-house Processing, Underwriting to Fund Your Loans Quicker  Company Culture that's Proactive to the Marketplace  Managers that \Roll Up Their Sleeves to Help You Succeed\  Yearly Service Nominated Employee President's Club Trips to Places Like New York City, Maui, Florida    *Shifts to Choose From:*    7am-4pm  8am-5pm  9am-6pm    *For Immediate Consideration For An Interview, Please Send Your Resume ASAP!*  Attn: B Ogden-SDLO"
"69","hourly-wage full-time-job","*GREAT COMPANY - DIRECT FHA/VA LENDER IN BUSINESS 26 YEARS  SECONDARY MARKETING LOCK DESK CLERK  ADVANCEMENT OPPORTUNITY!*    *INTERVIEWS UNTIL MAY 4th*        _Since 1985, the founder and top management team now at iFreedom Direct Corporation have helped tens of thousands of families achieve the dream of home ownership.    Today, with more than 300 employees carrying out the company’s mission to provide exceptional customer service, iFreedom Direct has earned a reputation as a leading authority on government-backed FHA and VA mortgage programs.    Our in-house team of home loan specialists includes processors, underwriters and closers with just one goal: to make the loan process as quick and easy as possible.    Whether it's a military member seeking to use their VA home loan benefits or an individual interested in learning more about the FHA home loan program, the experienced lending team at iFreedom Direct stands ready to ensure the home buying or refinancing experience exceeds our clients expectations.    If You have the Following Qualifications Listed below, You Could Become a Part of Our Secondary Marketing/Lock Desk Team!_      *What Kind of Employees Are We Seeking? Goal and Service Minded Individuals:*    *Secondary Marketing Lock Desk:*  Experience in Secondary Marketing/Lock Desk Department a Plus  Computer Proficient  Very Detailed & Math Oriented  Great Customer Service Skills  Postitve Personality, Have Team Spirit & Be Individually Driven    *Shift - You Choose:*  7:00am-4:00pm  7:30am-4:30pm  8:00am-5:00pm  8:30pm-5:30pm  9:00am-6:00pm    *We Offer You:*  $12-$13 Hour  Market Plus Regular Vacation Days Off  Comprehensive Benefit Package  Yearly Nominated Employee \Circe of Excellence\ Trips to Great Resorts!    *For Immediate Consideration for an Interview:*  Please Send your Resume to:  Attn: B Ogden-SLO  To Fax Resume:  XXX   "
